text,language
Trang dành cho người dùng chưa đăng nhập tìm hiểu thêm,vietnamese
Võ Nguyên Giáp tháng năm tháng năm tên khai sinh là Võ Giápa còn được gọi là tướng Giáp hoặc anh Văn là một nhà lãnh đạo quân sự và chính trị gia người Việt Nam,vietnamese
Ông là Đại tướng đầu tiên Tổng Tư lệnh tối cao của Quân đội nhân dân Việt Nam một trong những người sáng lập nhà nước Việt Nam Dân chủ Cộng hòa được Chính phủ Việt Nam đánh giá là người học trò xuất sắc và gần gũi của Chủ tịch Hồ Chí Minh là chỉ huy trưởng của các chiến dịch trong Chiến tranh Đông Dương Chiến tranh Việt Nam và Chiến tranh biên giới Việt Trung,vietnamese
Xuất thân là một giáo viên dạy lịch sử ông được đánh giá là một trong những nhà lãnh đạo quân sự lỗi lạc nhất trong lịch sử Việt Nam,vietnamese
Ông được nhiều tờ báo ca ngợi là anh hùng dân tộc của nhân dân Việt Nam,vietnamese
Võ Nguyên Giáp là người đầu tiên được tặng thưởng Huân chương Hồ Chí Minh và cho tới nay là người duy nhất lần được tặng thưởng huân chương này lần thứ nhất vào năm và lần thứ hai vào năm,vietnamese
Võ Nguyên Giáp sinh ngày tháng năm ở làng An Xá xã Lộc Thủy huyện Lệ Thủy tỉnh Quảng Bình trong một gia đình nhà nho con của ông Võ Quang Nghiêm Võ Nguyên Thân một nhà nho đức độ và mẹ là bà Nguyễn Thị Kiên,vietnamese
Về họ ngoại ông ngoại Võ Nguyên Giáp quê ở thôn Mỹ Đức xã Sơn Thủy huyện Lệ Thủy đầu nguồn sông Cẩm Ly một vùng sơn cước dưới dãy Trường Sơn từng tham gia Phong trào Văn Thân và Phong trào Cần Vương làm đến chức Đề đốc coi đại đồn tiền vệ sau bị quân Pháp bắt tra tấn dã man nhưng một mực trung thành không một lời khai báo,vietnamese
Về họ nội Võ Nguyên Giáp sinh trưởng trong một dòng họ lớn có tiếng tăm tại làng An Xá,vietnamese
Ông nội ông cũng từng tham gia phò tá vua Hàm Nghi trong Phong trào Cần Vương,vietnamese
Cha ông Võ Quang Nghiêm là một nho sinh thi cử bất thành về nhà làm hương sư và thầy thuốc Đông y trong làng,vietnamese
Khi Chiến tranh Đông Dương bùng nổ cụ Võ Quang Nghiêm bị người Pháp bắt đưa về giam ở Huế và mất trong tù Sau này con cháu đã tìm thấy và bốc mộ ông đưa về an táng tại nghĩa trang liệt sĩ huyện Lệ Thủy,vietnamese
Gia đình Võ Nguyên Giáp có anh chị em nhưng người anh cả và chị cả mất sớm nên còn lại năm người con gái và người con trai là Võ Nguyên Giáp và Võ Thuần Nho sau này là Thứ trưởng Bộ Giáo dục,vietnamese
Gia đình cụ Nghiêm thuộc diện nghèo trong làng quanh năm phải vay nợ nặng lãi của các nhà giàu như nhà Khóa Uy một Hoa kiều giàu có ở làng Tuy Lộc kề bên,vietnamese
Võ Nguyên Giáp đã có lần theo mẹ chèo thuyền chở thóc đi trả nợ,vietnamese
Tuy còn nhỏ tuổi nhưng những câu chuyện đêm đêm mẹ kể cho cậu nghe về tướng quân Tôn Thất Thuyết phò vua Hàm Nghi hạ chiếu Cần Vương kêu gọi các sĩ phu và dân chúng đứng lên chống Pháp bảo vệ non sông còn cha nói về phong trào đánh Pháp qua bài vè Thất thủ kinh đô đầy cảm động đã gieo vào lòng cậu bé những ấn tượng không bao giờ phai mờ góp phần nuôi dưỡng ý chí cho sự nghiệp cách mạng sau này,vietnamese
Cha ông là một nhà Nho nên dạy dỗ con cái rất nghiêm cẩn trong sinh hoạt gia đình và học hành giữ gìn nề nếp gia phong của đạo Khổng,vietnamese
Ông khuyên dạy con Chữ Nho là chữ của Thánh hiền là nho sinh các con không được nghịch ngợm dẫm đạp lên sách vở chữ Nho,vietnamese
Ông dạy đám học trò cùng hai con ông Tam thiên tự Ngũ thiên tự và cả Ấu học tân thư,vietnamese
Năm tháng học chữ Nho không nhiều nhưng những đạo lý học được trong các sách của Thánh hiền Nho gia đặc biệt là Ấu học tân thư đã trở thành nền tảng cơ bản có ảnh hưởng sâu sắc trong cả cuộc đời ông,vietnamese
Trong thế giới quan Nho giáo cả ba yếu tố cá nhân gia đình và dân tộc đều hòa quyện chặt chẽ với nhau,vietnamese
Qua sách Ấu học tân thư cậu Giáp được biết tới nhiều tấm gương quên mình để bảo vệ Tổ quốc hình thành trong cậu niềm tự hào về các chiến công của cha ông trong quá khứ,vietnamese
Những giá trị đạo đức nề nếp gia phong của đạo Khổng thấm nhuần trong con người cậu lối sống giản dị và đức hiếu học sự kính trọng tổ tiên và ông bà cha mẹ sự kính trên nhường dưới đạo hiếu của con cái với cha mẹ nghĩa vụ của con người với gia đình xã hội và đất nước,vietnamese
